question,context,selected_answer,selected_answer_idx,is_correct,confidence,correct_answers,correct_answers_text,correct_answers_idx
Почему вдова убитого дагестанского мирового судьи Абдурахмана Гамзатова не смогла рассмотреть лица преступников?,"Убийство дагестанского мирового судьи Абдурахмана Гамзатова было совершено по ошибке, пишет ""Коммерсант"". Как рассказал изданию глава Унцукульского района Дагестана Магомедгаджи Тагиров, убийцы судьи сами сказали жене Гамзатова, которая находилась на месте преступления, что они ""ошиблись"". Абдурахман Гамзатов работал мировым судьёй последние два года и разбирал незначительные дела. До 2008 года он работал в органах прокуратуры и был прокурором Гумбетского района, а до 1997 года Гамзатов возглавлял администрацию Унцукульского района. По его словам, рядом с домом Гамзатова живут ""простые сельчане"". На шум выстрелов вышла жена Гамзатова, и убийцы связали её. Убийство произошло в ночь на 8 июня в доме Гамзатова.",Из-за темноты.,492,True,0.5184522271156311,"[{'text': 'Из-за темноты.', 'idx': 492}]",['Из-за темноты.'],[492]
"Каким образом убийцы дагестанского мирового судьи Абдурахмана Гамзатова беспрепятственно проникли на веранду, где спал судья?","Как рассказал изданию глава Унцукульского района Дагестана Магомедгаджи Тагиров, убийцы судьи сами сказали жене Гамзатова, которая находилась на месте преступления, что они ""ошиблись"". Убийство дагестанского мирового судьи Абдурахмана Гамзатова было совершено по ошибке, пишет ""Коммерсант"". Дверь не была заперта, и два преступника беспрепятственно проникли на веранду, где спал судья, после чего дважды выстрелили в него. До 2008 года он работал в органах прокуратуры и был прокурором Гумбетского района, а до 1997 года Гамзатов возглавлял администрацию Унцукульского района. Абдурахман Гамзатов работал мировым судьёй последние два года и разбирал незначительные дела. Глава Унцугульского района не смог предположить, к кому именно направлялись преступники. По его словам, рядом с домом Гамзатова живут ""простые сельчане"".",Вдова судьи была в сговоре с преступниками и собственноручно открыла им дверь.,495,False,0.49628740549087524,"[{'text': 'Дверь не была заперта.', 'idx': 496}]",['Дверь не была заперта.'],[496]
Где произошло убийство?,"Глава Унцугульского района не смог предположить, к кому именно направлялись преступники. Рассмотрением громких преступлений он не занимался. Убийство произошло в ночь на 8 июня в доме Гамзатова. Убийство дагестанского мирового судьи Абдурахмана Гамзатова было совершено по ошибке, пишет ""Коммерсант"". Уходя, они извинились перед женщиной за ошибку, пишет ""Коммерсант"". На шум выстрелов вышла жена Гамзатова, и убийцы связали её. На месте преступления были найдены две гильзы калибра 9 миллиметров.",В доме Гамзатова.,497,True,0.9680652618408203,"[{'text': 'В доме Гамзатова.', 'idx': 497}]",['В доме Гамзатова.'],[497]
Кем работал Гамзатов?,"Глава Унцугульского района не смог предположить, к кому именно направлялись преступники. Рассмотрением громких преступлений он не занимался. Абдурахман Гамзатов работал мировым судьёй последние два года и разбирал незначительные дела. До 2008 года он работал в органах прокуратуры и был прокурором Гумбетского района, а до 1997 года Гамзатов возглавлял администрацию Унцукульского района. По его словам, рядом с домом Гамзатова живут ""простые сельчане"". Убийство дагестанского мирового судьи Абдурахмана Гамзатова было совершено по ошибке, пишет ""Коммерсант"". Как рассказал изданию глава Унцукульского района Дагестана Магомедгаджи Тагиров, убийцы судьи сами сказали жене Гамзатова, которая находилась на месте преступления, что они ""ошиблись"".",Судьёй.,504,True,0.667159378528595,"[{'text': 'Прокурором.', 'idx': 502}, {'text': 'Судьёй.', 'idx': 504}]","['Прокурором.', 'Судьёй.']","[502, 504]"
"Возможно ли, что это было убийство по ошибке?","Глава Унцугульского района не смог предположить, к кому именно направлялись преступники. Уходя, они извинились перед женщиной за ошибку, пишет ""Коммерсант"". Убийство дагестанского мирового судьи Абдурахмана Гамзатова было совершено по ошибке, пишет ""Коммерсант"". Как рассказал изданию глава Унцукульского района Дагестана Магомедгаджи Тагиров, убийцы судьи сами сказали жене Гамзатова, которая находилась на месте преступления, что они ""ошиблись"". На шум выстрелов вышла жена Гамзатова, и убийцы связали её. Они не скрывали своих лиц, однако из-за темноты женщина не смогла их рассмотреть. Убийство произошло в ночь на 8 июня в доме Гамзатова.","Возможно. Уходя, убийцы извинились перед женщиной за ошибку.",506,True,0.543481707572937,"[{'text': 'Возможно. Уходя, убийцы извинились перед женщиной за ошибку.', 'idx': 506}, {'text': 'Убийцы судьи сами сказали жене Гамзатова, которая находилась на месте преступления, что они ""ошиблись"".', 'idx': 509}]","['Возможно. Уходя, убийцы извинились перед женщиной за ошибку.', 'Убийцы судьи сами сказали жене Гамзатова, которая находилась на месте преступления, что они ""ошиблись"".']","[506, 509]"
Какие должности занимал судья Гамзатов?,"Абдурахман Гамзатов работал мировым судьёй последние два года и разбирал незначительные дела. До 2008 года он работал в органах прокуратуры и был прокурором Гумбетского района, а до 1997 года Гамзатов возглавлял администрацию Унцукульского района. Убийство дагестанского мирового судьи Абдурахмана Гамзатова было совершено по ошибке, пишет ""Коммерсант"". Как рассказал изданию глава Унцукульского района Дагестана Магомедгаджи Тагиров, убийцы судьи сами сказали жене Гамзатова, которая находилась на месте преступления, что они ""ошиблись"". Глава Унцугульского района не смог предположить, к кому именно направлялись преступники. Рассмотрением громких преступлений он не занимался. Убийство произошло в ночь на 8 июня в доме Гамзатова.","Мировой судья и бывший глава Унцугульского района, бывший прокурор Гумбетского района.",510,True,0.6811344027519226,"[{'text': 'Мировой судья и бывший глава Унцугульского района, бывший прокурор Гумбетского района.', 'idx': 510}, {'text': 'Мировой судья, прокурор, глава района.', 'idx': 512}]","['Мировой судья и бывший глава Унцугульского района, бывший прокурор Гумбетского района.', 'Мировой судья, прокурор, глава района.']","[510, 512]"
Кто был убит в ночь на 8 июня в доме Газматова?,"Убийство произошло в ночь на 8 июня в доме Гамзатова. До 2008 года он работал в органах прокуратуры и был прокурором Гумбетского района, а до 1997 года Гамзатов возглавлял администрацию Унцукульского района. Как рассказал изданию глава Унцукульского района Дагестана Магомедгаджи Тагиров, убийцы судьи сами сказали жене Гамзатова, которая находилась на месте преступления, что они ""ошиблись"". На шум выстрелов вышла жена Гамзатова, и убийцы связали её. Убийство дагестанского мирового судьи Абдурахмана Гамзатова было совершено по ошибке, пишет ""Коммерсант"". По его словам, рядом с домом Гамзатова живут ""простые сельчане"". Глава Унцугульского района не смог предположить, к кому именно направлялись преступники.",Ночью застрелили - дагестанского мирового судью Абдурахмана Гамзатова.,517,True,0.585594117641449,"[{'text': 'Ночью застрелили - дагестанского мирового судью Абдурахмана Гамзатова.', 'idx': 517}, {'text': 'Был убит дагестанский мировой судья Абдурахман Гамзатов.', 'idx': 518}]","['Ночью застрелили - дагестанского мирового судью Абдурахмана Гамзатова.', 'Был убит дагестанский мировой судья Абдурахман Гамзатов.']","[517, 518]"
Кто из родственников убитого был на месте преступления?,"Как рассказал изданию глава Унцукульского района Дагестана Магомедгаджи Тагиров, убийцы судьи сами сказали жене Гамзатова, которая находилась на месте преступления, что они ""ошиблись"". Преступники скрылись с места преступления на автомобиле ""Жигули"". Глава Унцугульского района не смог предположить, к кому именно направлялись преступники. Убийство произошло в ночь на 8 июня в доме Гамзатова. До 2008 года он работал в органах прокуратуры и был прокурором Гумбетского района, а до 1997 года Гамзатов возглавлял администрацию Унцукульского района. По его словам, рядом с домом Гамзатова живут ""простые сельчане"". На месте преступления были найдены две гильзы калибра 9 миллиметров.",Жена.,520,True,0.46092888712882996,"[{'text': 'Жена.', 'idx': 520}, {'text': 'Супруга.', 'idx': 521}]","['Жена.', 'Супруга.']","[520, 521]"
Кем работал пострадавший?,"Глава Унцугульского района не смог предположить, к кому именно направлялись преступники. Рассмотрением громких преступлений он не занимался. Уходя, они извинились перед женщиной за ошибку, пишет ""Коммерсант"". "" На месте преступления были найдены две гильзы калибра 9 миллиметров. Абдурахман Гамзатов работал мировым судьёй последние два года и разбирал незначительные дела. Они не скрывали своих лиц, однако из-за темноты женщина не смогла их рассмотреть.",Он работал мировым судьёй.,528,True,0.6906976699829102,"[{'text': 'Он был мировой судья.', 'idx': 525}, {'text': 'Он работал мировым судьёй.', 'idx': 528}]","['Он был мировой судья.', 'Он работал мировым судьёй.']","[525, 528]"
Кто были свидетелями произошедшего?,"Глава Унцугульского района не смог предположить, к кому именно направлялись преступники. Уходя, они извинились перед женщиной за ошибку, пишет ""Коммерсант"". Они не скрывали своих лиц, однако из-за темноты женщина не смогла их рассмотреть. На месте преступления были найдены две гильзы калибра 9 миллиметров. Дверь не была заперта, и два преступника беспрепятственно проникли на веранду, где спал судья, после чего дважды выстрелили в него. Как рассказал изданию глава Унцукульского района Дагестана Магомедгаджи Тагиров, убийцы судьи сами сказали жене Гамзатова, которая находилась на месте преступления, что они ""ошиблись"". Рассмотрением громких преступлений он не занимался.",Глава Унцугульского района.,533,False,0.4823594391345978,"[{'text': 'Жена потерпевшего.', 'idx': 531}, {'text': 'Супруга погибшего.', 'idx': 534}]","['Жена потерпевшего.', 'Супруга погибшего.']","[531, 534]"
Кого убили преступники?,"Глава Унцугульского района не смог предположить, к кому именно направлялись преступники. Уходя, они извинились перед женщиной за ошибку, пишет ""Коммерсант"". Рассмотрением громких преступлений он не занимался. На шум выстрелов вышла жена Гамзатова, и убийцы связали её. Дверь не была заперта, и два преступника беспрепятственно проникли на веранду, где спал судья, после чего дважды выстрелили в него. Преступники скрылись с места преступления на автомобиле ""Жигули"". Убийство произошло в ночь на 8 июня в доме Гамзатова.",Судью Гамзатова.,536,True,0.8019860982894897,"[{'text': 'Судью.', 'idx': 535}, {'text': 'Судью Гамзатова.', 'idx': 536}]","['Судью.', 'Судью Гамзатова.']","[535, 536]"
Кто подозревается в покровительстве игорных заведений?,"Их, как и прокуроров подмосковных городов Одинцово, Ногинск, Серпухов и других, подозревают в покровительстве игорному бизнесу. Каплун и Игнатенко входили в число сотрудников прокуратуры, уволенных из-за дела о покровительстве подпольных казино в Подмосковье. Бывший городской прокурор Клина Эдуард Каплун, скрывавшийся от следствия за пределами России, в четверг, 9 августа, явился на допрос в СК РФ. Помимо него, за пределами страны скрывался наиболее высокопоставленный фигурант ""игорного дела"" - бывший первый зампрокурора Подмосковья Александр Игнатенко. Каплун проходит в качестве подозреваемого по ""игорному делу"". Он был арестован первым из фигурантов - в феврале 2011 года, однако в июне того же года его отпустили под подписку о невыезде. В отношении бывшего прокурора в марте 2011 года было возбуждено уголовное дело по пунктам ""а"" и ""г"" части 4 статьи 290 УК РФ (получение взятки).","Эдуард Каплун, Александр Игнатенко, Иван Назаров, Роман Нищименко.",543,True,0.5343859195709229,"[{'text': 'Сотрудники прокуратуры.', 'idx': 541}, {'text': 'Эдуард Каплун, Александр Игнатенко, Иван Назаров, Роман Нищименко.', 'idx': 543}]","['Сотрудники прокуратуры.', 'Эдуард Каплун, Александр Игнатенко, Иван Назаров, Роман Нищименко.']","[541, 543]"
Когда было возбуждено дело в отношении Эдуарда Каплуна?,"В отношении бывшего прокурора в марте 2011 года было возбуждено уголовное дело по пунктам ""а"" и ""г"" части 4 статьи 290 УК РФ (получение взятки). Каплун проходит в качестве подозреваемого по ""игорному делу"". Бывший городской прокурор Клина Эдуард Каплун, скрывавшийся от следствия за пределами России, в четверг, 9 августа, явился на допрос в СК РФ. Кроме того, в качестве подозреваемого по этому делу проходит бизнесмен Иван Назаров. На данный момент под стражей остаются только Игнатенко и бывший прокурор города Одинцова Роман Нищеменко. Каплун и Игнатенко входили в число сотрудников прокуратуры, уволенных из-за дела о покровительстве подпольных казино в Подмосковье. Он был арестован первым из фигурантов - в феврале 2011 года, однако в июне того же года его отпустили под подписку о невыезде.",Март 2011 года.,547,True,0.7161645293235779,"[{'text': '2011 год.', 'idx': 545}, {'text': 'Март 2011 года.', 'idx': 547}]","['2011 год.', 'Март 2011 года.']","[545, 547]"
Почему Пуаро решает ехать в Лондон?,"В Стамбуле Пуаро останавливается в отеле. Соседом Пуаро по купе оказывается мистер Маккуин. Вдруг выясняется, что один из пассажиров не явился, и детективу отдают освободившееся место в вагоне Стамбул-Кале. Пуаро также видит среди попутчиков полковника Арбэтнота, Мэри Дэбенхем и мистера Рэтчетта с секретарём Маккуином и слугой Мастерменом. Он решает воспользоваться «Восточным экспрессом», но несмотря на зимний мёртвый сезон, все места заняты. Неожиданно Пуаро получает телеграмму, в которой говорится, что ему нужно срочно выехать в Лондон. Там он замечает пожилого американца мистера Рэтчетта, которого сопровождает секретарь мистер Маккуин.",Пуаро получает телеграмму в которой говорится что ему нужно ехать в Лондон.,551,True,0.7292746901512146,"[{'text': 'Пуаро получает телеграмму в которой говорится что ему нужно ехать в Лондон.', 'idx': 551}]",['Пуаро получает телеграмму в которой говорится что ему нужно ехать в Лондон.'],[551]
На чём Пуаро едет в столицу Англии?,"В Стамбуле Пуаро останавливается в отеле. Знаменитый детектив изучает попутчиков в своём вагоне. Соседом Пуаро по купе оказывается мистер Маккуин. Неожиданно Пуаро получает телеграмму, в которой говорится, что ему нужно срочно выехать в Лондон. Там он замечает пожилого американца мистера Рэтчетта, которого сопровождает секретарь мистер Маккуин. Вдруг выясняется, что один из пассажиров не явился, и детективу отдают освободившееся место в вагоне Стамбул-Кале. Поезд отправляется в трёхдневное путешествие по Европе.","Он едет туда на ""Восточном экспрессе"".",552,True,0.5923845171928406,"[{'text': 'Он едет туда на ""Восточном экспрессе"".', 'idx': 552}]","['Он едет туда на ""Восточном экспрессе"".']",[552]
Что насторожило Пауло?,"Знаменитый детектив изучает попутчиков в своём вагоне. В Стамбуле Пуаро останавливается в отеле. Неожиданно Пуаро получает телеграмму, в которой говорится, что ему нужно срочно выехать в Лондон. Поезд отправляется в трёхдневное путешествие по Европе. Детективу кажется странным, что люди разных классов и национальностей собрались в одном месте. Там он замечает пожилого американца мистера Рэтчетта, которого сопровождает секретарь мистер Маккуин. Соседом Пуаро по купе оказывается мистер Маккуин.","То, что люди разных классов и национальностей собрались в одном месте.",555,True,0.9119946956634521,"[{'text': 'То, что люди разных классов и национальностей собрались в одном месте.', 'idx': 555}]","['То, что люди разных классов и национальностей собрались в одном месте.']",[555]
Каких попутчиков изучат детектив?,"Знаменитый детектив изучает попутчиков в своём вагоне. Вдруг выясняется, что один из пассажиров не явился, и детективу отдают освободившееся место в вагоне Стамбул-Кале. Там он замечает пожилого американца мистера Рэтчетта, которого сопровождает секретарь мистер Маккуин. Детективу кажется странным, что люди разных классов и национальностей собрались в одном месте. Он решает воспользоваться «Восточным экспрессом», но несмотря на зимний мёртвый сезон, все места заняты. Пуаро также видит среди попутчиков полковника Арбэтнота, Мэри Дэбенхем и мистера Рэтчетта с секретарём Маккуином и слугой Мастерменом. Неожиданно Пуаро получает телеграмму, в которой говорится, что ему нужно срочно выехать в Лондон.","Своего соседа мистер Маккуин,итальянец Антонио Фоскарелли, американец мистер Хардман, русская княгиня Драгомирова, пожилая американка миссис Хаббард, которая всё время говорит о своей дочери и внуках, средних лет шведка Грета Ольсон, немка-горничная княгини Хильдегарда Шмидт, граф и графиня Андрени из Венгрии. (10) Пуаро также видит среди попутчиков полковника Арбэтнота, Мэри Дэбенхем и мистера Рэтчетта с секретарём Маккуином и слугой Мастерменом.",557,True,0.43088871240615845,"[{'text': 'Своего соседа мистер Маккуин,итальянец Антонио Фоскарелли, американец мистер Хардман, русская княгиня Драгомирова, пожилая американка миссис Хаббард, которая всё время говорит о своей дочери и внуках, средних лет шведка Грета Ольсон, немка-горничная княгини Хильдегарда Шмидт, граф и графиня Андрени из Венгрии. (10) Пуаро также видит среди попутчиков полковника Арбэтнота, Мэри Дэбенхем и мистера Рэтчетта с секретарём Маккуином и слугой Мастерменом.', 'idx': 557}]","['Своего соседа мистер Маккуин,итальянец Антонио Фоскарелли, американец мистер Хардман, русская княгиня Драгомирова, пожилая американка миссис Хаббард, которая всё время говорит о своей дочери и внуках, средних лет шведка Грета Ольсон, немка-горничная княгини Хильдегарда Шмидт, граф и графиня Андрени из Венгрии. (10) Пуаро также видит среди попутчиков полковника Арбэтнота, Мэри Дэбенхем и мистера Рэтчетта с секретарём Маккуином и слугой Мастерменом.']",[557]
Какие попутчики собрались в одном вагоне?,"Знаменитый детектив изучает попутчиков в своём вагоне. Детективу кажется странным, что люди разных классов и национальностей собрались в одном месте. В Стамбуле Пуаро останавливается в отеле. Вдруг выясняется, что один из пассажиров не явился, и детективу отдают освободившееся место в вагоне Стамбул-Кале. Там он замечает пожилого американца мистера Рэтчетта, которого сопровождает секретарь мистер Маккуин. Он решает воспользоваться «Восточным экспрессом», но несмотря на зимний мёртвый сезон, все места заняты. Поезд отправляется в трёхдневное путешествие по Европе.",Люди разных классов и национальностей собрались в одном вагоне.,563,True,0.7798671722412109,"[{'text': 'Их тринадцать человек: итальянец Антонио Фоскарелли, американец мистер Хардман, русская княгиня Драгомирова, пожилая американка миссис Хаббард, шведка средних лет Грета Ольсон, немка-горничная княгини Хильдегарда Шмидт, граф и графиня Андрени из Венгрии, полковник Арбэтнот, Мэри Дэбенхем и мистер Рэтчетт с секретарём Маккуином и слугой Мастерменом.', 'idx': 559}, {'text': 'Люди разных классов и национальностей собрались в одном вагоне.', 'idx': 563}]","['Их тринадцать человек: итальянец Антонио Фоскарелли, американец мистер Хардман, русская княгиня Драгомирова, пожилая американка миссис Хаббард, шведка средних лет Грета Ольсон, немка-горничная княгини Хильдегарда Шмидт, граф и графиня Андрени из Венгрии, полковник Арбэтнот, Мэри Дэбенхем и мистер Рэтчетт с секретарём Маккуином и слугой Мастерменом.', 'Люди разных классов и национальностей собрались в одном вагоне.']","[559, 563]"
"Как удалось Пуаро отправиться в Лондон на поезде, хотя мест в вагоне не было?","Вдруг выясняется, что один из пассажиров не явился, и детективу отдают освободившееся место в вагоне Стамбул-Кале. Он решает воспользоваться «Восточным экспрессом», но несмотря на зимний мёртвый сезон, все места заняты. Детективу кажется странным, что люди разных классов и национальностей собрались в одном месте. Неожиданно Пуаро получает телеграмму, в которой говорится, что ему нужно срочно выехать в Лондон. В Стамбуле Пуаро останавливается в отеле. Знаменитый детектив изучает попутчиков в своём вагоне. Пуаро также видит среди попутчиков полковника Арбэтнота, Мэри Дэбенхем и мистера Рэтчетта с секретарём Маккуином и слугой Мастерменом.",Пуаро пошёл пешком следом за поездом.,564,False,0.5371668338775635,"[{'text': 'Один из пассажиров не явился.', 'idx': 566}, {'text': 'Сыщику отдают освободившееся место в вагоне Стамбул-Кале.', 'idx': 567}]","['Один из пассажиров не явился.', 'Сыщику отдают освободившееся место в вагоне Стамбул-Кале.']","[566, 567]"
Кого детектив изучает в дороге?,"Знаменитый детектив изучает попутчиков в своём вагоне. В Стамбуле Пуаро останавливается в отеле. Соседом Пуаро по купе оказывается мистер Маккуин. Там он замечает пожилого американца мистера Рэтчетта, которого сопровождает секретарь мистер Маккуин. Поезд отправляется в трёхдневное путешествие по Европе. Вдруг выясняется, что один из пассажиров не явился, и детективу отдают освободившееся место в вагоне Стамбул-Кале. Детективу кажется странным, что люди разных классов и национальностей собрались в одном месте.",Изучает меню.,569,False,0.4424440860748291,"[{'text': 'Своего соседа мистера Маккуина,итальянца Антонио Фоскарелли, американца мистера Хардмана, русскую княгиню Драгомирову и других попутчиков.', 'idx': 570}]","['Своего соседа мистера Маккуина,итальянца Антонио Фоскарелли, американца мистера Хардмана, русскую княгиню Драгомирову и других попутчиков.']",[570]
Какие псевдонимы были у Адама Йоука?,"В Нью-Йорке на 48-м году жизни умер сооснователь и участник хип-хоп группы Beastie Boys Адам Йоук (Adam Yauch), известный под псевдонимом MCA, сообщает в пятницу, 4 мая, Associated Press. Адам Йоук основал Beastie Boys вместе со своим школьным другом Майклом Даймондом (Mike D) в 1979 году. После того, как к Beastie Boys присоединился Адам Хоровитц (Ad Rock), молодые люди стали исполнять хип-хоп. Кроме музыки Йоук также занимался режиссурой: он снимал для Beastie Boys клипы под псевдонимом Натаниэль Хорнблоуэр. Beastie Boys стали одной из первых ""белых"" групп, добившихся значительного успеха на хип-хоп сцене. Йоук перенес операцию и прошел курс химиотерапии, а в интервью заявлял, что излечение от болезни возможно. Первый альбом группы - ""Licensed to Ill"" - вышел в 1986 году.",Майкл Даймонд.,574,False,0.6491460204124451,"[{'text': 'МСА и Натаниэль Хорнблоуэр.', 'idx': 571}, {'text': 'Йоук снимал клипы под псевдонимом Натаниэль Хорнблоуэр, а музыку играл под псевдонимом МСА.', 'idx': 572}]","['МСА и Натаниэль Хорнблоуэр.', 'Йоук снимал клипы под псевдонимом Натаниэль Хорнблоуэр, а музыку играл под псевдонимом МСА.']","[571, 572]"
Из-за какой болезни умер Йоук?,"Йоук перенес операцию и прошел курс химиотерапии, а в интервью заявлял, что излечение от болезни возможно. В Нью-Йорке на 48-м году жизни умер сооснователь и участник хип-хоп группы Beastie Boys Адам Йоук (Adam Yauch), известный под псевдонимом MCA, сообщает в пятницу, 4 мая, Associated Press. Причина смерти официально не объявлена. Из-за заболевания Йоука Beastie Boys отложили выпуск восьмого студийного альбома ""Hot Sauce Committee, Pt. 2."" до 2011 года. В 2009 году у Йоука был диагностирован рак горла, и с того же самого года певец не выступал на сцене. В 2012 году MCA не присутствовал на церемонии включения Beastie Boys в Зал славы Рок-н-ролла. Адам Йоук основал Beastie Boys вместе со своим школьным другом Майклом Даймондом (Mike D) в 1979 году.",У него был рак горла.,579,True,0.5089635848999023,"[{'text': 'Рак горла.', 'idx': 577}, {'text': 'У него был рак горла.', 'idx': 579}]","['Рак горла.', 'У него был рак горла.']","[577, 579]"
Отчего на 48 году жизни умер основатель группы beastie boys Адам Йоук?,"В Нью-Йорке на 48-м году жизни умер сооснователь и участник хип-хоп группы Beastie Boys Адам Йоук (Adam Yauch), известный под псевдонимом MCA, сообщает в пятницу, 4 мая, Associated Press. Адам Йоук основал Beastie Boys вместе со своим школьным другом Майклом Даймондом (Mike D) в 1979 году. Beastie Boys стали одной из первых ""белых"" групп, добившихся значительного успеха на хип-хоп сцене. После того, как к Beastie Boys присоединился Адам Хоровитц (Ad Rock), молодые люди стали исполнять хип-хоп. Йоук перенес операцию и прошел курс химиотерапии, а в интервью заявлял, что излечение от болезни возможно. В 2012 году MCA не присутствовал на церемонии включения Beastie Boys в Зал славы Рок-н-ролла. Из-за заболевания Йоука Beastie Boys отложили выпуск восьмого студийного альбома ""Hot Sauce Committee, Pt. 2."" до 2011 года.",Из-за операции.,584,False,0.8158794045448303,"[{'text': 'У него был рак горла.', 'idx': 581}, {'text': 'У Адама Йоука на 48 году жизни диагностировали рак.', 'idx': 583}]","['У него был рак горла.', 'У Адама Йоука на 48 году жизни диагностировали рак.']","[581, 583]"
В каких музыкальных направлениях играла группа beastie boys?,"Beastie Boys стали одной из первых ""белых"" групп, добившихся значительного успеха на хип-хоп сцене. Адам Йоук основал Beastie Boys вместе со своим школьным другом Майклом Даймондом (Mike D) в 1979 году. В Нью-Йорке на 48-м году жизни умер сооснователь и участник хип-хоп группы Beastie Boys Адам Йоук (Adam Yauch), известный под псевдонимом MCA, сообщает в пятницу, 4 мая, Associated Press. В 2012 году MCA не присутствовал на церемонии включения Beastie Boys в Зал славы Рок-н-ролла. После того, как к Beastie Boys присоединился Адам Хоровитц (Ad Rock), молодые люди стали исполнять хип-хоп. Первый альбом группы - ""Licensed to Ill"" - вышел в 1986 году. Изначально группа играла музыку в стиле хардкор-панк.",Хип-хоп и хардкор-панк.,589,True,0.831214427947998,"[{'text': 'Изначально группа исполняла музыку в стиле хардкор-панк, а затем стали исполнять хип-хоп.', 'idx': 586}, {'text': 'Хип-хоп и хардкор-панк.', 'idx': 589}]","['Изначально группа исполняла музыку в стиле хардкор-панк, а затем стали исполнять хип-хоп.', 'Хип-хоп и хардкор-панк.']","[586, 589]"
Каковы последствия приобретения News Corp. BSkyB?,"News Corp. будет финансировать Sky News в течение 10 лет. Министерство культуры Великобритании разрешило News Corp. медиамагната Руперта Мердока полностью выкупить телекомпанию BSkyB. Выкуп BSkyB, предположительно, обойдется News Corp. в 14 миллиардов долларов. Планы Мердока по выкупу BSkyB вызывают протесты многих участников британского медиарынка. Как сообщает Reuters, при этом Мердок потеряет контроль над влиятельным телеканалом Sky News (ныне входит в BSkyB), который будет выделен в отдельную компанию. Таким образом, у News Corp. останется 39,1 процент Sky News. Акции Sky News будут перераспределены между нынешними акционерами BSkyB в соответствии с их долями.","У News Corp. останется 39,1 процент Sky News.",595,True,0.8158666491508484,"[{'text': 'Акции Sky News будут перераспределены между нынешними акционерами BSkyB в соответствии с их долями.', 'idx': 591}, {'text': 'Мердок потеряет контроль над влиятельным телеканалом Sky News.', 'idx': 593}, {'text': 'Выкуп BSkyB обойдется News Corp. в 14 миллиардов долларов.', 'idx': 594}, {'text': 'У News Corp. останется 39,1 процент Sky News.', 'idx': 595}]","['Акции Sky News будут перераспределены между нынешними акционерами BSkyB в соответствии с их долями.', 'Мердок потеряет контроль над влиятельным телеканалом Sky News.', 'Выкуп BSkyB обойдется News Corp. в 14 миллиардов долларов.', 'У News Corp. останется 39,1 процент Sky News.']","[591, 593, 594, 595]"
